"Driver","mean_EM","SD_EM","mean_no_EM","SD_no_EM","AD_p","adj_AD_p","mean_2016","SD_2016","mean_2017","SD_2017","mean_2018","SD_2018","mean_2019","SD_2019"
"SRPmax_ugL",12.1851851851852,3.50863809911215,10.7857142857143,1.96934173730891,0.050305,1,13,2.18385685639668,11.3076923076923,4.46065420061182,10.2307692307692,2.20430813612216,11.2666666666667,1.66761877566558
"DINmax_ugL",47.7142857142857,61.7469082000784,22.8064516129032,10.4256713767466,0.077576,1,27.8,20.4311423798908,74.2666666666667,85.8540844079291,24.7857142857143,11.0187153476296,21.1764705882353,9.94506972146027
"DOCmax_mgL",3.16,1.36876485978393,4.72222222222222,1.56287046890141,0.000016945,0.000796415,2.71764705882353,1.38348983286725,3.73846153846154,1.15581029407833,5.46363636363636,1.77722971349948,4.2125,1.20325946218317
"SRPmax_depth_m",2.39259259259259,1.86916804321847,1.225,0.661437827766148,0.000014522,0.000697056,2.95,1.85959052564723,1.79230769230769,1.75236104463927,0.907692307692308,0.778311782494156,1.5,0.387298334620742
"DINmax_depth_m",3.54,2.69238577779459,2.47741935483871,2.34004411317669,0.065212,1,3.845,2.64584580049556,3.13333333333333,2.7917395157517,1.67142857142857,1.74330745398535,3.14117647058824,2.60025451242984
"DOCmax_depth_m",1.98,2.02440284937354,1.23703703703704,1.52848546158209,0.23854,1,2.64705882352941,2.09377579000798,1.10769230769231,1.61372319934447,0.509090909090909,0.700649049745371,1.7375,1.75114248420852
"Cmax_SRP_ugL",9.05882352941176,3.37496286372914,7.32258064516129,2.8912176993347,0.06384,1,9.63157894736842,3.00389610553786,8.33333333333333,3.77334006393477,7.53333333333333,1.88477610139267,7.125,3.64920082575167
"Cmax_DIN_ugL",31.2352941176471,41.7351380359592,18.8387096774194,9.35983181541758,0.068557,1,18.8421052631579,23.1018593717637,46.9333333333333,54.2868922177966,16.6,6.456447497325,20.9375,11.2514813839482
"Cmax_DOC_mgL",2.50857142857143,1.27564780050152,3.69032258064516,1.50606658522782,0.000034473,0.001585758,2.225,1.29162280627287,2.88666666666667,1.19155760406685,4.26,0.882205029619371,3.15625,1.7836175785932
"Grab_SRP_ugL",8.97058823529412,3.5546409622867,7.40625,3.0570845799605,0.1441,1,9.21052631578947,3.30956437832368,8.66666666666667,3.94002658922621,7.53333333333333,1.88477610139267,7.29411764705882,3.86918444058875
"Grab_DIN_ugL",31,42.0079357582191,18.21875,9.08644639364125,0.027738,1,18.5789473684211,23.2482156769878,46.7333333333333,54.6815020520346,16.6,6.456447497325,19.6470588235294,10.9026440398109
"Grab_DOC_mgL",2.52571428571429,1.32050410542223,3.74838709677419,1.44010901618406,0.000011959,0.000585991,2.21,1.29975706232074,2.94666666666667,1.2687826936909,4.26,0.882205029619371,3.26875,1.70712965725122
"Max_biomass_ugL",25.5994285714286,17.2244656611148,28.3646875,21.0558956550102,0.97406,1,27.2605,15.5149216715291,23.3846666666667,19.612116468677,22.516,12.7923078449512,33.5252941176471,25.6015383125817
"Peak_depth_m",4.45057142857143,1.33085099456998,3.07875,1.30938978646667,0.000051333,0.002309985,4.6915,1.02584637713143,4.12933333333333,1.636980960997,2.93733333333333,1.07810989809989,3.20352941176471,1.5064940307568
"Peak_width_m",3.66171428571429,1.53879724940939,3.4325,1.13238543535033,0.50462,1,3.5395,1.22857416287508,3.82466666666667,1.91111361203232,3.41133333333333,1.22525138334178,3.45117647058824,1.08169937108781
"BV_Bacillaria",52572.1100958622,66627.333674237,37510.9199384205,36949.6919174694,0.57977,1,45744.5528752736,68866.6652934395,61675.5197233136,64723.4381301793,35841.5678960865,34825.1313289953,38983.8776228329,39738.1512137018
"BV_Chlorophytes",61200.2525958284,115898.566997382,68573.9721757581,87425.9691362256,0.2273,1,42341.6308776997,59827.0506144929,86345.0815533334,163029.601597499,62121.2766204062,49579.687378935,74267.5270775391,112180.832255412
"BV_Chrysophytes",20658.8674904071,62101.1772855845,26491.7360074111,90733.7847434035,0.7752,1,33096.1455548452,80522.0357561002,4075.83007115634,7131.77107384499,50077.4635652899,130294.774337972,5680.79992692981,10694.9206313374
"BV_Cryptophytes",320781.839979606,704462.918675722,178184.149923789,166418.15882767,0.021913,0.832694,401175.02532061,896757.740263323,213590.926191601,303807.741618476,215252.345630102,198748.983053518,145476.918418218,129115.296740286
"BV_Cyanobacteria",591217.503002843,1884495.81328019,1011759.77874276,1441147.64216208,0.017368,0.677352,150434.71851384,174853.87414739,1178927.88232151,2817005.58735938,559216.656031718,1279232.56342391,1411062.53407604,1493560.01087735
"BV_Desmids",13406.6096698485,37099.9204585859,129846.97919691,182073.691873295,0.00045181,0.01987964,3806.67794748747,10833.9950151381,26206.5186329965,53630.2599803972,222248.404646419,216433.295468188,48316.3096826368,90413.945768665
