"Date","Year","HOx","EM","Chem_Depth_m","Cmax_SRP_ugL","Cmax_DIN_ugL","Cmax_DOC_mgL","SRPmax_depth_m","SRPmax_ugL","DINmax_depth_m","DINmax_ugL","DOCmax_depth_m","DOCmax_mgL","Temp_Depth_m","Temp_C","schmidt.stability","thermo.depth","Kd","perc_light_thermocline","shannon","richness","BV_Bacillaria","BV_Cryptophytes","BV_Cyanobacteria","rel_abund_Bacillaria","rel_abund_Cryptophytes","rel_abund_Cyanobacteria","BV_TOTAL"
2017-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-12,2017,1,1,5,5,15,2.5,NA,NA,NA,NA,NA,NA,5,15.1,26.257021143236,5.1059134415866,0.844670387833618,1.02808691043985,1.42103441276369,14,17410.0251916459,168452.972338971,1570.16433653694,0.076672862372311,0.741858292689332,0.00691492360016665,227068.934861276
2017-06-19,2017,1,0,1.6,8,14,2.7,1.6,8,9,42,9,2.8,1.6,24,33.3891218767201,2.44564920432892,0.790306260413362,12.2409435551811,1.42016268181698,11,26310.8384738145,123366.199699398,292088.886082656,0.0493232143612908,0.231266575512865,0.547560000991364,533437.222503151
2017-06-26,2017,1,0,3.8,5,12,2.5,1.6,9,9,63,1.6,3.2,3.8,18.4,29.0855239660882,3.03227105474227,0.791434036710635,8.0969453606769,1.65770068256961,12,7386.56509323064,103656.119937986,120423.738213674,0.0273420294302308,0.383692372056032,0.445759206448229,270154.236797933
2017-07-05,2017,1,0,3.8,12,14,3.1,NA,NA,9,92,0.1,3.9,2.8,22.4,33.0390201025963,3.25957948508248,0.719863911759857,25.3191489361702,1.10822163322269,14,50390.3714511062,21820.7357859362,1192500.61444715,0.0326167841532986,0.0141241711204019,0.77188427122112,1544921.51078634
2017-07-10,2017,1,1,3.8,9,7,2.9,0.1,20,9,124,0.1,4.4,3.168,19.4333,34.942571170919,2.11680342385753,1.05620819636479,10.9810565224087,1.78530415557059,10,40144.2772189672,0,126672.191613896,0.112927991183061,0,0.356335625615756,355485.622283777
2017-07-17,2017,1,1,1.6,16,48,4.7,0.1,18,8,171,1.6,4.7,2.8,24.8,32.2792981342516,5.19215904551091,1.35320229562958,0.142365097588978,0.86102630691928,12,119299.072137986,69731.4966504744,4489436.30194552,0.0198485256104735,0.0116016610382579,0.746935326644356,6010475.26044126
2017-07-24,2017,1,1,1.6,16,20,6.5,0.1,18,9,195,0.1,6.9,-0.1,NA,NA,NA,NA,NA,0.457226013185139,13,118883.71229812,116281.172487438,10492158.0933832,0.0103049485076753,0.0100793579854766,0.909469823886152,11536565.3898778
2017-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-07,2017,1,0,5,9,96,2,1.6,12,8,358,0.1,3.6,5,17.6,23.1830171345293,3.52595428638924,1.09121355400782,5.05365178262374,1.82114034598666,17,45141.4928107958,160556.434390672,9467.52284597471,0.147103065459159,0.523206970071927,0.0308519179634756,306869.830821635
2017-08-14,2017,1,0,5,7,146,2.1,NA,NA,9,377,0.1,3.7,0.1,19,NA,NA,NA,NA,1.95959343423433,17,84125.4711135315,102472.65596799,89566.3084582477,0.159630081563224,0.194444301038087,0.169954199783462,527002.619366653
2017-08-21,2017,1,0,5,7,164,2.5,NA,NA,8,359,0.1,3.6,5,17.8,33.0409798436165,3.63056840129449,1.30993985677198,2.79344073647871,1.10168765631518,17,50847.6011210636,939764.540174282,23310.3153046683,0.0354827400528323,0.655791426826234,0.0162665266456882,1433023.52200968
2017-08-28,2017,1,0,5,6,6,2,1.6,9,8,401,6.2,6.7,5,17.5,10.3695591612238,4.45300136033483,1.14878604170034,0.703054806828392,1.28834642308754,16,70756.4441013004,923670.902510221,177932.888121138,0.0533589062509353,0.696559440200216,0.134182891986787,1326047.49746084
2017-09-04,2017,1,0,5,7,111,2.6,0.1,8,8,419,0.1,3.4,5,17.7,12.8034866409427,4.68038329910099,1.35459511933668,0.359570269677702,2.07943049775254,15,254077.030288843,351010.921264325,165117.539220083,0.226890889965575,0.313452893489666,0.14745002875695,1119820.32565253
2017-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-09-25,2017,1,0,5,8,69,1.9,5,8,9,393,1.6,3.2,5,17.6,12.9222441517907,4.58485558437593,0.945307461066889,1.30874479476502,1.80966233743367,17,18825.3565428186,136880.474231565,715580.040227349,0.0119032654811182,0.0865494696078529,0.452460975835525,1581528.74710563
2018-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-07,2018,1,0,3.8,8,12,3.3,0.1,11,8,56,6.2,3.5,3.622,11.2389,25.9538726390488,2.46405691975767,0.573795168011242,15.7099929672016,1.60226967818498,11,27900.1692356228,28100.9569753238,13021.0296290694,0.112502997568318,0.113312642212427,0.0525052322200904,247994.896479804
2018-05-14,2018,1,0,3.8,10,13,3.4,9,13,6.2,88,NA,NA,3.949,11.7099,36.7475494751903,3.09516734679439,0.581552864620653,10.7161201106282,2.13923165864396,13,27640.131301902,32941.6967012764,1859.11819013576,0.160877829179674,0.191735292315052,0.0108208928297278,171808.206530637
2018-05-21,2018,1,0,1.6,10,15,4.1,6.2,12,8,82,0.1,4.4,2.374,16.569,24.4147680298219,3.1391836344729,0.827292457638395,0.620747432068187,1.90450479161655,16,67614.5605071852,111968.408054354,7512.92001685488,0.131390309484543,0.217579818258077,0.0145992945712082,514608.427154513
2018-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-04,2018,1,0,3.8,5,15,3.2,1.6,8,6.2,22,NA,NA,3.142,14.7713,35.5185676293336,2.55081851482853,0.88377000720341,10.90202532803,1.46932444725617,11,22797.3976819745,99001.6133601172,195801.128354007,0.0567974312617723,0.246652596408924,0.487818885462411,401380.787396954
2018-06-11,2018,1,0,5,8,17,3.3,NA,NA,0.1,18,0.1,3.9,4.438,10.663,40.0999348804267,2.1372614355635,0.807075110937086,20.5808107258825,0.855566291491044,11,15450.1108456672,332131.018530156,19967.3704226971,0.0378281693403448,0.813192121250274,0.0488882621734072,408428.72164023
2018-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-02,2018,1,0,1.6,6,34,4.1,9,8,9,38,0.1,4.5,2.293,20.6099,47.3142738536629,2.55339244838678,1.01934323864602,5.93669175834781,1.95054589412392,12,28284.0844007347,173500.391668842,12097.1192832797,0.0392182704655313,0.2405729381209,0.0167736769974117,721196.627617565
2018-07-09,2018,1,0,3.8,4,15,3.3,8,8,0.1,19,1.6,4.4,3.065,16.8417,44.0773483579055,2.47944646880228,1.0468333343452,7.49760175414554,1.70455947926443,11,34333.4293841599,296528.323242861,16617.2610211397,0.0283328775754311,0.244703218722566,0.01371301470887,1211787.58820926
2018-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-23,2018,0,0,0.1,9,22,4.9,0.1,9,NA,NA,9.5,6.5,0.8,25,36.2165981501247,3.30464181226096,NA,NA,1.41947301159934,11,43533.4679426,115785.873887888,1353653.25462591,0.0153969810648619,0.040951318424273,0.478762076969029,2827402.83690739
2018-07-30,2018,0,0,1.6,8,18,5.6,NA,NA,9,126,1.6,5.6,2.624,21.5135,41.2916692994842,2.93644652470064,0.755307800116696,3.15487525611667,0.857011460839678,16,119853.791495019,273701.401849909,4993666.42657473,0.0192072353940452,0.0438621689596681,0.800262764641428,6240033.4580258
2018-08-06,2018,0,0,1.6,10,24,5.6,1.6,10,9,334,NA,NA,1.189,25.4793,41.7838940043184,3.09067915116649,1.08990753492468,2.72565263462094,0.993917117104481,15,12057.1482421917,86860.2008001416,589707.435070934,0.0155392992458525,0.111945762437013,0.760017221070981,775913.253965411
2018-08-13,2018,0,0,1.6,7,20,5.2,0.1,10,9,208,0.1,5.3,1.8,25.6658,42.5305081774974,2.7285283420794,1.17847424376275,4.98077059533102,1.72639514966712,13,6185.63748054385,89353.0469742604,3478.35016218948,0.00825674645716046,0.119270722922539,0.0046429903900376,749161.611372905
2018-08-20,2018,0,0,3.8,7,9,4.2,1.6,9,9,430,0.1,5.3,3.985,14.7346,40.8132744790177,3.0599189373222,0.969568665466338,6.26301467108377,1.76894931351469,16,4112.33516712057,594031.910549414,224299.782409451,0.00171043876579268,0.247074999150189,0.0932927466757575,2404257.46268371
2018-08-27,2018,0,0,3.8,8,9,4.1,0.1,10,9.5,962,0.1,5.9,3.857,15.4696,37.1668723690076,3.24008790570952,1.04307405554722,9.34362754245195,1.78575797388444,17,6711.21528569561,97168.4485741472,82043.3890633807,0.00620663961886935,0.0898629409057709,0.075875043095762,1081296.11155322
2018-09-03,2018,0,0,3.8,8,13,5.4,1.6,15,8,378,0.1,10.5,3.175,20.4009,41.9445465622241,3.15207300760121,0.896634247917721,5.8358334552905,2.18771091825227,16,102721.500246979,197501.75029291,385898.961873114,0.0503930734058379,0.0968903313947152,0.189314161749506,2038405.14786063
2018-09-10,2018,0,0,3.8,5,13,4.2,NA,NA,9,336,1.6,5.4,3.745,16.6675,31.7859396588533,3.28923050012305,0.776577902015823,2.15776669504926,1.7387980994763,15,18428.5392239018,700210.142989937,488626.293778876,0.0117210150420356,0.445351284703363,0.310778628177331,1572264.78746172
2018-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-27,2019,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5.885766,0.262490831158072,NA,NA,NA,0.663277617203262,12,1104352.54323018,17409.7401354623,481.914277396941,0.85752200241195,0.0135185410799761,0.000374203055607214,1287841.6415252
2019-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-01,2019,0,0,6.2,3,13,3.5,1.6,11,9,81,6.2,3.5,6.2,8,2.86737795407334,4.23870044446593,NA,NA,1.8652482017453,14,39641.7511097281,11474.903477368,4901.71075349676,0.261216895164031,0.0756131748662695,0.0322995233100677,151757.990557368
2019-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-15,2019,0,0,3.8,6,14,2.8,1.6,18,8,73,0.1,4.9,3,10.99102,9.93295592053237,2.50714111342946,NA,NA,1.51132665369366,7,0,32655.3681729099,16627.2420012849,0,0.235483880954538,0.119902107834173,138673.475401122
2019-04-22,2019,0,0,3.8,2,12,2.3,1.6,17,9,92,0.1,5.8,4,9.807214,10.6816156189132,2.57625307193019,NA,NA,1.36128590511569,5,0,3490.8927844492,17269.108981953,0,0.0352234415381728,0.174246958643885,99107.0898244285
